source_line,invoice_no,invoice_date,vendor_gstin,vendor_name_raw,vendor_name_canonical,category,state,description,taxable_amount_orig,gst_amount_orig,gst_rate,currency,taxable_amount_inr,gst_amount_inr,payment_status,payment_date,is_credit_note,standard_term_days,flags
2,INV-2024-0111,2024-06-16,21AACCK5678L1Z2,Konark Fabrication Pvt. Ltd.,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Freight - Durgapur to Asansol,56959.56,10253.0,0.18,INR,56959.56,10253.0,Paid,2024-07-30,False,45,
3,INV-2024-0081,2024-06-02,21AACCK5678L1Z2,KONARK FABRICATION,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Angle sections supply,781057.0,218696.0,0.28,INR,781057.0,218696.0,Paid,2024-08-02,False,45,
4,INV-2024-0046,2024-04-04,07AAKCA4567U1Z7,Apex Safety Equip.,Apex Safety Equipment,Safety,Delhi,Welding consumables,499871.0,59984.57,0.12,INR,499871.0,59984.57,Paid,2024-04-16,False,30,
5,INV-2024-0032,2024-12-14,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Welding consumables,35896.0,4307.51,0.12,INR,35896.0,4307.51,Paid,2025-01-18,False,30,
6,INV-2024-0049,2024-06-11,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,Site safety harness x20,535906.0,96463.0,0.18,INR,535906.0,96463.0,Paid,2024-07-21,False,15,
7,INV-2024-0020,2024-10-14,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Epoxy primer 200L,89299.0,16074.0,0.18,INR,89299.0,16074.0,Paid,2024-11-14,False,30,
8,INV-2024-0055,2024-10-22,07AAKCA4567U1Z7,Apex Safety Equip.,Apex Safety Equipment,Safety,Delhi,Freight - Durgapur to Asansol,668139.55,33406.98,0.05,INR,668139.55,33406.98,Paid,2024-11-22,False,30,
9,INV-2024-0092,2024-04-08,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Freight - Durgapur to Asansol,562298.41,101213.71,0.18,INR,562298.41,101213.71,Paid,2024-05-09,False,30,
10,INV-2024-0007,2024-04-13,24AAHCN6789R1Z6,Nova Paints and Coatings,Nova Paints & Coatings,Consumables,Gujarat,Structural design review,33629.0,6053.3,0.18,INR,33629.0,6053.3,Paid,2024-05-27,False,30,
11,INV-2024-0091,2024-09-05,33AADCS9012M1Z8,Sundaram Engg,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,MS plate 12mm supply,29858.0,8360.0,0.28,INR,29858.0,8360.0,Paid,2024-10-27,False,45,
12,INV-2024-0074,2025-03-10,33AADCS9012M1Z8,Sundaram Engineering,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Epoxy primer 200L,41258.0,7426.0,0.18,INR,41258.0,7426.0,Paid,2025-05-10,False,45,
